axis,channel,demeaned,ground_truth_available,high_k_axis_anisotropy,high_k_energy,low_k_energy,mid_k_energy,model,oracle_available,parseval_relative_error,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_low_k_energy,retention_vs_canonical_initial_low_k_energy_undefined,retention_vs_canonical_initial_mid_k_energy,retention_vs_canonical_initial_mid_k_energy_undefined,retention_vs_canonical_initial_total_nonzero_mode_energy,retention_vs_canonical_initial_total_nonzero_mode_energy_undefined,spectral_centroid,step,total_nonzero_mode_energy
phi,vel1,False,False,143278.2687456317,0.004369638147570663,35881.86752216526,0.01584687178806922,persistence,False,2.0277521815946867e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.0974482117011641,25,0.08203809126877826
phi,vel1,True,False,143278.2687456317,0.004369638147570663,17806.700748332558,0.01584687178806922,persistence,False,2.0430369040288333e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.0974482117011641,25,0.08203809126877826
theta,vel1,False,False,143278.2687456317,12.834077410356628,35755.898189356245,113.15547190858739,persistence,False,2.0277521815946867e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.02667831339397141,25,10739.216374800133
theta,vel1,True,False,143278.2687456317,12.834077410356628,17680.73141552355,113.15547190858739,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.02667831339397141,25,10739.216374800133
r,vel1,False,False,143278.2687456317,626.0741888287937,34405.08541605767,850.7281337887367,persistence,False,2.0277521815946867e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05311192777522551,25,15849.258611973375
r,vel1,True,False,143278.2687456317,626.0741888287937,16329.918642224966,850.7281337887367,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.05311192777522551,25,15849.258611973375
combined,vel1,False,False,143278.2687456317,638.0036128363193,34294.84985965804,949.0342661808255,persistence,False,6.08325654478406e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.054016034954659856,25,17806.720964842494
combined,vel1,True,False,143278.2687456317,638.0036128363193,16219.683085825352,949.0342661808255,persistence,False,2.0430369040288333e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.054016034954659856,25,17806.720964842494
phi,vel2,False,False,189816.75391820606,3.7192925800891586e-06,42.07185895153762,1.2445069091762033e-05,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06681573197199818,25,0.0001617153852216977
phi,vel2,True,False,189816.75391820606,3.7192925800891586e-06,42.07182291391626,1.2445069091762033e-05,persistence,False,1.6888796670810614e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06681573197199818,25,0.0001617153852216977
theta,vel2,False,False,189816.75391820606,0.3979006152815737,41.13417551108133,0.5397989895363899,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.029031962437508003,25,42.068221755832994
theta,vel2,True,False,189816.75391820606,0.3979006152815737,41.134139473459975,0.5397989895363899,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.029031962437508003,25,42.068221755832994
r,vel2,False,False,189816.75391820606,0.7059840444245935,38.95441661562971,2.4114744558449854,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.05773940671459341,25,37.57806603902825
r,vel2,True,False,189816.75391820606,0.7059840444245935,38.954380578008355,2.4114744558449854,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.05773940671459341,25,37.57806603902825
combined,vel2,False,False,189816.75391820606,1.0881546753464493,38.1198744224225,2.863846018130351,persistence,False,1.6888782204327766e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06225401746020806,25,42.07183907827793
combined,vel2,True,False,189816.75391820606,1.0881546753464493,38.119838384801135,2.863846018130351,persistence,False,1.6888796670810614e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06225401746020806,25,42.07183907827793
phi,vel3,False,False,63420.80128666641,0.00012660167474952516,833.9210850153061,0.000561213251970921,persistence,False,2.7265588074472796e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.1021579894635214,25,0.0023406362784127582
phi,vel3,True,False,63420.80128666641,0.00012660167474952516,493.96042690117304,0.000561213251970921,persistence,False,1.1507670779607485e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.1021579894635214,25,0.0023406362784127582
theta,vel3,False,False,63420.80128666641,0.44147061842552343,830.8825773728562,2.5977248389510876,persistence,False,1.3632794037236398e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.031389272390868264,25,240.20885132352504
theta,vel3,True,False,63420.80128666641,0.44147061842552343,490.92191925872316,2.5977248389510876,persistence,False,1.1507670779607485e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.031389272390868264,25,240.20885132352504
r,vel3,False,False,63420.80128666641,8.029179656848807,811.1383317348163,14.754261438567529,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.043343983454525545,25,394.24528942539325
r,vel3,True,False,63420.80128666641,8.029179656848807,471.17767362068344,14.754261438567529,persistence,False,1.1507670779607485e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.043343983454525545,25,394.24528942539325
combined,vel3,False,False,63420.80128666641,8.346455667718804,809.6672709180962,15.908046244417676,persistence,False,1.3632794037236398e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.042256720624340924,25,493.96111471609976
