channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
rho,Differential LocalNO,5.268423978755679,1.1862417920402248,-3.4412732834968516,170,171
press,Differential LocalNO,10.206747798363828,0.1086162587943719,-92.97071775126088,170,171
vel1,Differential LocalNO,0.08847697751373886,0.04329899649797929,-1.0433955673284014,170,171
vel2,Differential LocalNO,0.005473486111661063,0.0018342346927684957,-1.9840707589058169,170,171
vel3,Differential LocalNO,0.042911262344491746,0.014807329083590615,-1.8979745166902333,170,171
Bcc1,Index-space DISCO3D LocalNO,0.9373312933173346,0.10988213433979097,-7.530333879562297,170,171
Bcc2,Index-space DISCO3D LocalNO,0.15840735964107544,0.061770907448254454,-1.564433099412914,170,171
Bcc3,Index-space DISCO3D LocalNO,0.23070243226036719,0.6808535498208844,0.661157039834691,170,171
rho,Index-space DISCO3D LocalNO,3.7347681253796443,1.1862417920402248,-2.1484037659440345,170,171
press,Index-space DISCO3D LocalNO,25.723343104013427,0.1086162587943719,-235.82774005972593,170,171
vel1,Index-space DISCO3D LocalNO,0.0893882560743043,0.04329899649797929,-1.0644417493249745,170,171
vel2,Index-space DISCO3D LocalNO,0.005049989722642205,0.0018342346927684957,-1.7531862430428795,170,171
vel3,Index-space DISCO3D LocalNO,0.04803833535025622,0.014807329083590615,-2.244226901358733,170,171
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.4053231943562863,0.10988213433979097,-20.890029792452445,170,171
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.10867815358858474,0.061770907448254454,-0.7593744058175691,170,171
Bcc3,Anisotropic spherical DISCO3D LocalNO,1.0348829632269954,0.6808535498208844,-0.5199788023419241,170,171
rho,Anisotropic spherical DISCO3D LocalNO,6.580969053923658,1.1862417920402248,-4.547746756253637,170,171
press,Anisotropic spherical DISCO3D LocalNO,0.7144390999298919,0.1086162587943719,-5.577644156225638,170,171
vel1,Anisotropic spherical DISCO3D LocalNO,0.056789243103159026,0.04329899649797929,-0.3115602599660552,170,171
vel2,Anisotropic spherical DISCO3D LocalNO,0.006964305546616668,0.0018342346927684957,-2.79684539501601,170,171
vel3,Anisotropic spherical DISCO3D LocalNO,0.03850368216682344,0.014807329083590615,-1.6003124499672916,170,171
Bcc1,Persistence,0.0066864041067597494,0.11743167325423114,0.943061323053073,171,172
Bcc2,Persistence,0.1243077913933616,0.12430757292680103,-1.7574678310428027e-06,171,172
Bcc3,Persistence,0.32411575764655315,0.3241161104025967,1.0883631890168388e-06,171,172
rho,Persistence,0.386528986068157,0.3865280240778477,-2.4887983518517842e-06,171,172
press,Persistence,0.07052626589783186,0.07053169146691822,7.692384761404103e-05,171,172
vel1,Persistence,0.048439132132223804,0.05720997558085557,0.1533096869834496,171,172
vel2,Persistence,0.0007942383136071748,0.0012885126624432074,0.383600691900704,171,172
vel3,Persistence,0.019506235085438882,0.019506218643956123,-8.428841622443173e-07,171,172
Bcc1,FNO,1.4123812320049092,0.11743167325423114,-11.027259706563196,171,172
Bcc2,FNO,0.13481854952429703,0.12430757292680103,-0.08455620482338144,171,172
Bcc3,FNO,2.8133126002355784,0.3241161104025967,-7.679952985802089,171,172
rho,FNO,35189.36348306152,0.3865280240778477,-91038.61754652567,171,172
press,FNO,0.6118051281152133,0.07053169146691822,-7.674187665018225,171,172
vel1,FNO,0.13604662228486433,0.05720997558085557,-1.3780227294903833,171,172
vel2,FNO,0.0038943937077455457,0.0012885126624432074,-2.022394595922099,171,172
