channel,display_name,radial_index,region,sample_count,skill_mean,skill_median,variant
press,W1,51,outer,42,-0.49948226172998583,-0.21879188937252092,mixed_basis
press,W1,52,outer,42,-10.083459092800537,-0.919477998373902,mixed_basis
press,W1,53,outer,42,-71.41173298349408,-1.4519740228297175,mixed_basis
press,W1,54,outer,42,-28.179352393968344,-13.968955785570266,mixed_basis
press,W1,55,outer,42,-3.704890971997698,-3.270668571826112,mixed_basis
press,W1,56,outer,42,-1.4715726074369055,-1.477494270933026,mixed_basis
press,W1,57,outer,42,-0.9654306246610206,-1.24380623701887,mixed_basis
press,W1,58,outer,42,-0.8343939075854871,-1.0910088627488541,mixed_basis
press,W1,59,outer,42,-1.406258670630503,-1.3946244576197402,mixed_basis
press,W1,60,outer,42,-1.6645236439180455,-0.19568001904018018,mixed_basis
press,W1,61,outer,42,-0.6399757690586151,-0.6277528472901541,mixed_basis
press,W1,62,outer,42,-2.9744447204704354,-1.8010801155264606,mixed_basis
press,W1,63,outer,42,-10.167736792942446,-7.522205580585688,mixed_basis
rho,W1,0,inner,42,-380631.34096216393,-17184.357418549,mixed_basis
rho,W1,1,inner,42,-1.3465885620769026e+21,-1606164.8487947797,mixed_basis
rho,W1,2,inner,42,-70563519.16788988,-58007.13271270043,mixed_basis
rho,W1,3,inner,42,-16369579.44755907,-21236.368351783058,mixed_basis
rho,W1,4,inner,42,-135075.00734785362,-5472.432152481244,mixed_basis
rho,W1,5,inner,42,-12582.82099885106,-2570.043864153766,mixed_basis
rho,W1,6,inner,42,-2706.7822740455194,-1005.2128970878935,mixed_basis
rho,W1,7,inner,42,-1354.1637301616531,-418.03426405572986,mixed_basis
rho,W1,8,inner,42,-1743.8430130974525,-209.8321645299294,mixed_basis
rho,W1,9,inner,42,-429.1287151429133,-156.10550069579205,mixed_basis
rho,W1,10,inner,42,-532.7351433689821,-113.92160729700858,mixed_basis
rho,W1,11,inner,42,-452.2409144301673,-103.37227517453317,mixed_basis
rho,W1,12,inner,42,-205.1053717165946,-82.56028735683665,mixed_basis
rho,W1,13,inner,42,-115.38253687680312,-74.1812331967605,mixed_basis
rho,W1,14,inner,42,-83.0328950184923,-45.987415725320126,mixed_basis
rho,W1,15,inner,42,-491.4414236818936,-50.099677098018944,mixed_basis
rho,W1,16,inner,42,-127.58071340447084,-38.49988087281115,mixed_basis
rho,W1,17,inner,42,-104.62066218353468,-34.97293853931518,mixed_basis
rho,W1,18,inner,42,-55.37592372080574,-30.209599604562236,mixed_basis
rho,W1,19,inner,42,-157.43819818396523,-23.070593697970974,mixed_basis
rho,W1,20,inner,42,-74.13772531149559,-17.488830566751083,mixed_basis
rho,W1,21,middle,42,-33.5740572675272,-20.473599024837217,mixed_basis
rho,W1,22,middle,42,-47.36670911960763,-14.071135337440014,mixed_basis
rho,W1,23,middle,42,-94.75097482444475,-9.521102219922852,mixed_basis
rho,W1,24,middle,42,-60.38862985149732,-6.123059582749136,mixed_basis
rho,W1,25,middle,42,-6.782221967675739,-3.7993101148507047,mixed_basis
rho,W1,26,middle,42,-4.304446494711898,-3.0230670882778607,mixed_basis
rho,W1,27,middle,42,-11.196171184254025,-1.660207278044689,mixed_basis
rho,W1,28,middle,42,-11.353158147193701,-1.6064009395174923,mixed_basis
rho,W1,29,middle,42,-30.68927383275305,-1.514529805515131,mixed_basis
rho,W1,30,middle,42,-3.2845683791451146,-1.578688533992448,mixed_basis
rho,W1,31,middle,42,-3.0909549080016654,-2.1504551487668557,mixed_basis
rho,W1,32,middle,42,-32.19697183320577,-1.7500561793007954,mixed_basis
rho,W1,33,middle,42,-16.24562310490543,-1.363229274965353,mixed_basis
rho,W1,34,middle,42,-4.892229428556187,-0.9667547948367918,mixed_basis
rho,W1,35,middle,42,-1.0163062389665032,-1.0886771299111584,mixed_basis
rho,W1,36,middle,42,-0.4805164347801675,-0.07218986832837399,mixed_basis
rho,W1,37,middle,42,-2.193608213095533,0.2532123661033334,mixed_basis
rho,W1,38,middle,42,-0.08819465646135945,0.4594029614154394,mixed_basis
rho,W1,39,middle,42,-0.10248306076874107,0.21630417249776307,mixed_basis
rho,W1,40,middle,42,-0.44628224614061973,-0.5584874383172007,mixed_basis
rho,W1,41,middle,42,-10.620838355533781,0.04385556602849783,mixed_basis
rho,W1,42,outer,42,-5.447804411583181,-0.4368851112125999,mixed_basis
rho,W1,43,outer,42,-2.252454531636517,-1.2588514556855128,mixed_basis
rho,W1,44,outer,42,-3.1558653027715398,-2.361294880343931,mixed_basis
rho,W1,45,outer,42,-3.8377077988868136,-2.7230329272072096,mixed_basis
rho,W1,46,outer,42,-5.614117784441074,-4.838020363171444,mixed_basis
rho,W1,47,outer,42,-32.46077388357215,-13.35505193391656,mixed_basis
rho,W1,48,outer,42,-202.4282945972193,-38.49950856152586,mixed_basis
rho,W1,49,outer,42,-55.394382845452796,-19.70259762970206,mixed_basis
rho,W1,50,outer,42,-73.28951690278048,-19.728651195486698,mixed_basis
rho,W1,51,outer,42,-49.153521513584174,-20.455776158947565,mixed_basis
rho,W1,52,outer,42,-404.7186341445722,-36.64185487945442,mixed_basis
rho,W1,53,outer,42,-1280.2528321677037,-115.37175664851557,mixed_basis
rho,W1,54,outer,42,-701.5744069738233,-109.9651483615325,mixed_basis
rho,W1,55,outer,42,-52.21385879931837,-50.5478156513159,mixed_basis
rho,W1,56,outer,42,-28.696741492865012,-23.580377686362205,mixed_basis
rho,W1,57,outer,42,-19.086951444121706,-16.595195224778813,mixed_basis
rho,W1,58,outer,42,-14.832012323340967,-13.9637439990491,mixed_basis
rho,W1,59,outer,42,-20.357810414232414,-16.188622419670544,mixed_basis
rho,W1,60,outer,42,-70.49422278723779,-26.760109498807513,mixed_basis
rho,W1,61,outer,42,-35.45555362568306,-26.16184701400317,mixed_basis
rho,W1,62,outer,42,-203.35645549759388,-197.0814905374299,mixed_basis
rho,W1,63,outer,42,-776.6664982046952,-749.3847052273974,mixed_basis
vel1,W1,0,inner,42,-23.218005726804662,-0.7403716795276396,mixed_basis
vel1,W1,1,inner,42,-3.238471475032942,-0.7022569236822854,mixed_basis
vel1,W1,2,inner,42,-5.0791383495575495,-0.938457028050868,mixed_basis
vel1,W1,3,inner,42,-19.227972718697735,-1.7107614341726753,mixed_basis
vel1,W1,4,inner,42,-10.418881704563947,-1.5518637012501928,mixed_basis
vel1,W1,5,inner,42,-31.332323462389656,-1.756660014079626,mixed_basis
vel1,W1,6,inner,42,-60.29457057919341,-2.192740909054952,mixed_basis
vel1,W1,7,inner,42,-4.63422856126486,-2.054045716422582,mixed_basis
vel1,W1,8,inner,42,-3.627401834957805,-1.8981898840967053,mixed_basis
vel1,W1,9,inner,42,-6.443371394504613,-2.0801057774151275,mixed_basis
vel1,W1,10,inner,42,-4.112958187399739,-1.390840464198882,mixed_basis
vel1,W1,11,inner,42,-3.625395706786311,-0.9963618102936597,mixed_basis
vel1,W1,12,inner,42,-2.0979481517043204,-0.9447361118725601,mixed_basis
vel1,W1,13,inner,42,-4.032594912693493,-0.7908651633442165,mixed_basis
vel1,W1,14,inner,42,-5.7149469079912585,-0.9499333104550868,mixed_basis
vel1,W1,15,inner,42,-2.6477317683086596,-0.8241750327232044,mixed_basis
vel1,W1,16,inner,42,-2.2654942424413824,-0.9833335456485991,mixed_basis
vel1,W1,17,inner,42,-2.5632229314616106,-1.234391864531534,mixed_basis
vel1,W1,18,inner,42,-3.692361440481224,-1.2585658255042744,mixed_basis
vel1,W1,19,inner,42,-3.4304606686610657,-1.0516742066338343,mixed_basis
vel1,W1,20,inner,42,-2.05296687821731,-1.2755129887681649,mixed_basis
vel1,W1,21,middle,42,-2.682025254083931,-1.2304855286109602,mixed_basis
vel1,W1,22,middle,42,-2.3822726204221167,-1.1010064574190215,mixed_basis
vel1,W1,23,middle,42,-1.495937009687816,-1.2862369271924994,mixed_basis
vel1,W1,24,middle,42,-4.286698784655853,-0.9056431534706914,mixed_basis
vel1,W1,25,middle,42,-1.8170421101484608,-0.8749612262787086,mixed_basis
vel1,W1,26,middle,42,-2.239512446269128,-0.9760804609832594,mixed_basis
vel1,W1,27,middle,42,-14.602633245601329,-0.8541676864462228,mixed_basis
vel1,W1,28,middle,42,-9.04835679247865,-0.781373333665795,mixed_basis
vel1,W1,29,middle,42,-8.398815489417704,-0.8929864043810825,mixed_basis
vel1,W1,30,middle,42,-11.628986665748851,-0.879798550816275,mixed_basis
vel1,W1,31,middle,42,-19.527333953767545,-0.7493706062103868,mixed_basis
vel1,W1,32,middle,42,-3.319142620805075,-0.8335841390156996,mixed_basis
vel1,W1,33,middle,42,-1.6938953556629872,-0.893152849444201,mixed_basis
vel1,W1,34,middle,42,-1.8197718177731774,-0.8869694622595605,mixed_basis
vel1,W1,35,middle,42,-8.214969174404981,-0.9560553025400296,mixed_basis
vel1,W1,36,middle,42,-2.8672405781077823,-0.9719677553915689,mixed_basis
vel1,W1,37,middle,42,-1.7880533173473028,-1.1719146924342787,mixed_basis
vel1,W1,38,middle,42,-4.546509556083889,-1.146568245715979,mixed_basis
vel1,W1,39,middle,42,-2.0875550991174734,-1.1107980893667053,mixed_basis
vel1,W1,40,middle,42,-2.332358619360845,-1.2015389446674356,mixed_basis
vel1,W1,41,middle,42,-3.8146708850222044,-1.7231725430426816,mixed_basis
vel1,W1,42,outer,42,-3.382641996363746,-0.9635774599660707,mixed_basis
vel1,W1,43,outer,42,-4.288182089118142,-1.753460583824811,mixed_basis
vel1,W1,44,outer,42,-6.909142578951466,-1.9542712273030178,mixed_basis
vel1,W1,45,outer,42,-5.5476820083704474,-1.9753864383220503,mixed_basis
vel1,W1,46,outer,42,-7.31925808791919,-1.931746689642137,mixed_basis
vel1,W1,47,outer,42,-4.129013320573332,-2.6376879953615897,mixed_basis
vel1,W1,48,outer,42,-8.30237419610358,-2.7404882307608514,mixed_basis
vel1,W1,49,outer,42,-44.25035401145731,-2.73291545315778,mixed_basis
vel1,W1,50,outer,42,-10.71460816591025,-3.2551426720646206,mixed_basis
vel1,W1,51,outer,42,-10.03682516155455,-2.7780597664518027,mixed_basis
vel1,W1,52,outer,42,-4.761683764210067,-2.602677374797331,mixed_basis
vel1,W1,53,outer,42,-7.831151964159912,-3.681867429190723,mixed_basis
vel1,W1,54,outer,42,-12.096869220918176,-4.179814628166394,mixed_basis
vel1,W1,55,outer,42,-18.165490484643122,-5.9311147935825135,mixed_basis
vel1,W1,56,outer,42,-23.18893146314862,-6.735263433129672,mixed_basis
vel1,W1,57,outer,42,-15.48442859355961,-7.6202274435119675,mixed_basis
vel1,W1,58,outer,42,-31.57726640591904,-7.580091011571433,mixed_basis
vel1,W1,59,outer,42,-21.33687957419649,-8.873939515605363,mixed_basis
vel1,W1,60,outer,42,-30.070266888417603,-14.408292696164054,mixed_basis
vel1,W1,61,outer,42,-37.45133967565924,-12.032772429557628,mixed_basis
vel1,W1,62,outer,42,-73.50371486393509,-12.170470401465295,mixed_basis
vel1,W1,63,outer,42,-139.7255090728316,-14.533918784512796,mixed_basis
vel2,W1,0,inner,42,-1.2619004607869453,-0.29303849105902724,mixed_basis
vel2,W1,1,inner,42,-15.423866193833446,-0.24598521726536116,mixed_basis
vel2,W1,2,inner,42,-5.233683055605099,-2.0509061974476266,mixed_basis
vel2,W1,3,inner,42,-2.5653015788721096,-0.9655764431902678,mixed_basis
vel2,W1,4,inner,42,-9.07306063071025,-0.5504375164913012,mixed_basis
vel2,W1,5,inner,42,-130.02096570506313,-0.43263991825440484,mixed_basis
vel2,W1,6,inner,42,-2.155787992373558,-0.3012508956675781,mixed_basis
vel2,W1,7,inner,42,-1.54360377547222,-0.14369247144307384,mixed_basis
vel2,W1,8,inner,42,-1.441644430491559,-0.11369440343570103,mixed_basis
vel2,W1,9,inner,42,-0.9216720855011422,-0.05125602691801645,mixed_basis
vel2,W1,10,inner,42,-8.979699010825986,-0.5632067698681232,mixed_basis
vel2,W1,11,inner,42,-2.991848092525351,-0.5852082302013621,mixed_basis
vel2,W1,12,inner,42,-15.523708521305602,-0.8159189437266039,mixed_basis
vel2,W1,13,inner,42,-1.954199197909007,-0.7172660448723202,mixed_basis
